taxon,naam,name,familie,family,file
Dryocopus martius,Zwarte specht,Black Woodpecker,Spechten,Picidae,90 - Dryocopus martius - Black Woodpecker.flac.mp3
Loxia pytyopsittacus,Grote kruisbek,Parrot Crossbill,Vinken,Fringillidae,90 - Loxia pytyopsittacus - Parrot Crossbill.flac.mp3
Carpodacus erythrinus,Roodmus,Common Rosefinch,Vinken,Fringillidae,91 - Carpodacus erythrinus - Common Rosefinch.flac.mp3
Picus canus,Grijskopspecht,Grey-faced Woodpecker,Spechten,Picidae,91 - Picus canus - Grey-faced Woodpecker.flac.mp3
Picus viridis,Groene specht,Eurasian Green Woodpecker,Spechten,Picidae,92 - Picus viridis - Eurasian Green Woodpecker.flac.mp3
Pyrrhula pyrrhula,Goudvink,Eurasian Bullfinch,Vinken,Fringillidae,92 - Pyrrhula pyrrhula - Eurasian Bullfinch.flac.mp3
Coccothraustes coccothraustes,Appelvink,Hawfinch,Vinken,Fringillidae,93 - Coccothraustes coccothraustes - Hawfinch.flac.mp3
Dendrocopus major,Grote bonte specht,Great Spotted Woodpecker,Spechten,Picidae,93 - Dendrocopus major - Great Spotted Woodpecker.flac.mp3
Calcarius lapponicus,IJsgors,Lapland Longspur,Gorzen,Emberizidae,94 - Calcarius lapponicus - Lapland Longspur.flac.mp3
Dendrocopus minor,Kleine bonte specht,Lesser Spotted Woodpecker,Spechten,Picidae,94 - Dendrocopus minor - Lesser Spotted Woodpecker.flac.mp3
Lullula arborea,Boomleeuwerik,Woodlark,Leeuweriken,Alaudidae,95 - Lullula arborea - Woodlark.flac.mp3
Plectrophenax nivalis,Sneeuwgors,Snow Bunting,Gorzen,Emberizidae,95 - Plectrophenax nivalis - Snow Bunting.flac.mp3
Alauda arvensis,Veldleeuwerik,Eurasian Skylark,Leeuweriken,Alaudidae,96 - Alauda arvensis - Eurasian Skylark.flac.mp3
Emberiza citrinella,Geelgors,Yellowhammer,Gorzen,Emberizidae,96 - Emberiza citrinella - Yellowhammer.flac.mp3
Emberiza cirlus,Cirlgors,Cirl Bunting,Gorzen,Emberizidae,97 - Emberiza cirlus - Cirl Bunting.flac.mp3
Eremophila alpestris,Strandleeuwerik,Horned Lark,Leeuweriken,Alaudidae,97 - Eremophila alpestris - Horned Lark.flac.mp3
Emberiza hortulana,Ortolaan,Ortolan Bunting,Gorzen,Emberizidae,98 - Emberiza hortulana - Ortolan Bunting.flac.mp3
Riparia riparia,Oeverzwaluw,Sand Martin,Zwaluwen,Hirundinidae,98 - Riparia riparia - Sand Martin.flac.mp3
Emberiza schoeniclus,Rietgors,Reed Bunting & Corn Bunting,Gorzen,Emberizidae,99 - Emberiza schoeniclus & Emberiza calandra - Reed Bunting & Corn Bunting.flac.mp3
Hirundo rustica,Boerenzwaluw,Barn Swallow & House Martin,Zwaluwen,Hirundinidae,99 - Hirundo rustica & Delichon urbicum - Barn Swallow & House Martin.flac.mp3
